Rank,Candidate Name,Political Party,Number of Votes,Standardized Name
1st,"GO, BONG GO",(PDPLBN),26479597,Bong Go
2nd,"AQUINO, BAM",(KNP),20634871,Bam Aquino
3rd,"DELA ROSA, BATO",(PDPLBN),20263395,Bato dela Rosa
4th,"TULFO, ERWIN",(LAKAS),16813744,Erwin Tulfo
5th,"PANGILINAN, KIKO",(LP),15087278,Francis Kiko Pangilinan
6th,"MARCOLETA, RODANTE",(IND),14904190,Rodante Marcoleta
7th,"LACSON, PING",(IND),14855623,Ping Lacson
8th,"SOTTO, TITO",(NPC),14595834,Tito Sotto
9th,"CAYETANO, PIA",(NP),14305761,Pia Cayetano
10th,"VILLAR, CAMILLE",(NP),13356877,Camille Villar
11th,"LAPID, LITO",(NPC),13117515,Lito Lapid
12th,"MARCOS, IMEE R.",(NP),13035203,Imee R. Marcos
13th,"TULFO, BEN BITAG",(IND),11885694,Ben Tulfo
14th,"BONG REVILLA, RAMON, JR.",(LAKAS),11787605,Ramon Bong Revilla Jr.
15th,"BINAY, ABBY",(NPC),11568708,Abby Binay
16th,"ABALOS, BENHUR",(PFP),11352731,Benhur Abalos
17th,"BONDOC, JIMMY",(PDPLBN),10351364,Jimmy Bondoc
18th,"PACQUIAO, MANNY PACMAN",(PFP),10207354,Manny Pacquiao
19th,"SALVADOR, PHILLIP IPE",(PDPLBN),9977854,Phillip Salvador
20th,"BOSITA, COLONEL",(IND),9676522,Bonifacio Bosita
21st,"MENDOZA, HEIDI",(IND),8650575,Heidi Mendoza
22nd,"REVILLAME, WILLIE WIL",(IND),8412930,Willie Revillame
23rd,"RODRIGUEZ, ATTY. VIC",(IND),8240249,Vic Rodriguez
24th,"LAMBINO, RAUL",(PDPLBN),8164133,Raul Lambino
25th,"TOLENTINO, FRANCIS TOL",(PFP),7563543,Francis Tolentino
